	Announcer	[voice-over] Futurama is brought to you by ... [The oval zooms back into a corner and is replaced by a monster that has eyes on stalks and large teeth.] ... Glagnar's Human Rinds. It's a buncha muncha cruncha human!
	Leela	Aww! Somebody likes snouts.
	Fry	Is it me?
	Bender	[shouting] Ow, my head! My precious head! [Leela quickly turns the can opener off and Bender edges away from it.] [talking] Stupid can opener. You killed my father and now you've come back for me!
	Fry	You alright, Bender?
	Bender	Yeah, I guess so. But I don't see why we keep this ticking time-bomb around just for that dumb animal.
	Leela	Don't yell at Nibbler like that. [She picks him up.] You hurt his feelings. Come on, pet him and make up.
	Bender	[turning away] No.
	Leela	I said pet him.
	Bender	I'll pet him. I'll pet him with both hands! [Nibbler leaps out of Leela's hands and bites Bender's shiny metal ass.] Ow! My ass! Get off!
	Leela	Are you alright?
	Bender	Ah, it's nothing a lawsuit won't cure.
	Leela	Not you. [She picks up Nibbler and looks in his mouth.] Aww, poor baby chipped a fang.
	Bender	Hey, I got a busted ass here, I don't see anyone kissing it.
	Zoidberg	[reluctant] Alright, I'm coming.
	Jeffery	Remember, Rover gets the pill and Pepper gets the suppository. [The woman leaves.] Next.
	Jeffery	It's just a simple broken fang, nothing serious.
	Bender	What's that you say there, doctor? You're gonna have to put him down?
	Jeffery	No-- What? Huh?
	Bender	Terrible shame that. Shall I do the honours?
	Leela	No!
	Bender	You about done?
	Leela	Next time I'm keeping it.
	Jeffery	OK, well I believe I have a replacement fang for your pet in the next room. [He walks through a door and doesn't close it. Fry, Leela and Bender step back in horror when they hear an animal growling. Jeffery struggles with the growling creature and glass breaks. He flails his legs around and runs back into the examination room. The door closes. His shirt is ripped and blooded and he has a bruised eye.] The jaguar didn't wanna cooperate but luckily he knocked one of my teeth out. [He chuckles.] Now then.
	Fry	Hey, what are these rings in Nibbler's fang?
	Jeffery	Um, I'm still a little woozy from a gazelle kick this morning but if he's anything like the common tree, the rings might indicate his age.
	Fry	Yeah, well, good luck. It'd take some kind of genius to count all those rings.
	Jeffery	He's five.
	Prof. Farnsworth	Happy birthday, young Nibbler.
	Leela	Aww, look how cuddly he looks in his new cape!
