	Announcer	Ladies and gentlemen, Conan O'Brien's head.
	O'Brien	Thank you, thank you. Let's get started. Max, play me over. [Max Weinberg's head is just a skull in a jar. O'Brien gasps.] Looks like someone forgot to feed Max. [Bender spits his drink out and laughs.] So, people are getting pretty worried about this Y2K problem, huh?
	Bender	No, they fixed that 900 years ago.
	O'Brien	Just bear with me, sir. Anyway, I'm walking to work this morning--
	Bender	I doubt it!
	O'Brien	Listen, pal, I may have lost my freakishly long legs in the war of 2012 but I've still got something you'll never have: A soul!
	Bender	Eh.
	O'Brien	And freckles! [Bender cries.] Well, I'm out of material. You can catch me next week at the Andromeda Chuckle Hut. Enjoy your breakfast.
	Bender	Ah, lets face it: Comedy's a dead art form. Now, tragedy... [He laughs.] That's funny!
	Prof. Farnsworth	Come on, everyone. Perhaps some skiing will help us forget the mouldy old antics of Conan O'Brien.
	Amy	Yeah!
	Leela	Great idea!
	Zoidberg	We can only hope!
	Fry	This snow is beautiful. I'm glad global warming never happened.
	Leela	Actually it did. But thank God nuclear winter cancelled it out.
	Fry	Hi!
	Bender	Enough of your mindless chitchat, let's get going.
	Hermes	Jah damnit! We're stuck.
	Zoidberg	[shivering] At least you're not cold-blooded!
	Hermes	Sweet lion of Zion! Look at the Professor go.
	Fry	Look out! We're heading straight for those trees!
	Leela	Yeah, yeah, relax. Trees down.
	Trees	[mechanical voice] Trees down.
	Fry	Cool. Hey, what do you do if you want the trees up?
	Trees	[mechanical voice] Trees up.
	Fry	[hoarse] Trees down!
	Trees	[mechanical voice] Trees down.
	Bender	Lookin' good, meatball!
	Man #1	Excuse me, sir, you're snowboarding off the trail.
	Bender	Lick my frozen, metal ass. [He laughs.] Uh-oh!
	Child	[shouting] Mommy!
	Zoidberg	You, a bobsledder? That I'd like to see!
	Hermes	Listen, you filthy crab, a thousand years ago there was a legendary team of Jamaican bobsledders.
	Fry	Yup, I remember. They came in last at the Olympics then retired to promote alcoholic beverages.
	Hermes	A true inspiration for the children. [A buzzer goes off and the gates open. The bobsled doesn't move forward and it tips over.] Um, a little help please? [Zoidberg pushes the bobsled and it slides down the track upside-down.] [screaming] Nooo!
	Fry	Oh, what the hell! [He takes a run up and slides after Hermes and Zoidberg. He hits something at the bottom.] Ow!
	Amy	You poor man. What happened to you?
