	Lincoln	[on TV] Four score and 1145 years ago our forefathers' foreheads conceived a new nation.
	Washington	[on TV] And this Presidents' Day we honoureth those values that my body fought and died for.
	Malfunctioning Eddie	[on TV] Values like this brand new Plymouth V'Ger! Hi, I'm Malfunctioning Eddie and I'm malfunctioning so badly I'm practically giving these cars away!
	Amy	Hey, let's go car shopping! My parents promised if I got all B's they'd buy me a bar, and I got all C's!
	Bender	Mind if I tag along? I gotta bring my ass in for servicing. [He picks up a recall notice.] The recall notice says it could burst into flames in a low-speed collision.
	Fry	No wonder you've been staying at the back of conga lines lately.
	Leela	I'll get my coat. Let's go, Bender.
	Victor	Hello, I am Victor and I know many things about the art of unloading fine cars on beautiful women.
	Leela	Uh-huh. Now tell us she's witty and sophisticated.
	Victor	Ah-ah-ah! A gentleman always sells a lady a car first. [He takes Amy over to a car.] This is the Beta Romeo. Yes, the Beta Romeo. Note the cross-your-heart seat belt which protects, lifts and separates.
	Salesman	Spotted her the minute you walked in, didn't you, sir? She's a real beauty.
	Fry	Yup, she's beautiful coffee alright.
	Salesman	No, the Ford Thundercougarfalconbird! [He takes Fry over to a car.] Nothing makes you feel more like a man than a Thundercougarfalconbird. So how much were you thinking of spending on this Thundercougarfalconbird?
	Fry	Sorry, I'm not here to buy.
	Salesman	I understand, and it's wonderful you don't care whether anyone questions your sexual orientation.
	Fry	I care! I care plenty! I just don't know how to make them stop!
	Salesman	One word: Thundercougarfalconbird!
	Victor	The luxurious seats are stuffed with eagle down and the dashboard inlaid with the beaks of a thousand eagles. Also, there are some eagles under the floorboards.
	Amy	That's an awful lot of eagle.
	Victor	Yes, and yet--
	Amy	What's wrong?
	Victor	It is just ... the luxury edition has so much more eagle. It saddens me to think of you missing out.
	Amy	Oh, don't be sad. My parents are paying and they're incredibly rich.
	Mechanic	I installed shock-absorbing bumpers to reduce the risk of catastrophic butt failure.
	Bender	You, sir, have defaced a national treasure! I demand you restore my buttocks to their former glory.
	Mechanic	Alright. But sooner or later that ass is gonna blow, and when it does, I just pray you're not moonin' someone you care about.
	Amy	Smeesh, Leela! This car has everything a beautiful woman like me needs. Victor said so.
	Victor	[quietly; to himself] No dog food for Victor tonight.
	Leela	OK, the sticker says 55,000, but we'll only go as high as, say--
	Amy	60,000!
	Victor	Oh, I will have to ask my manager.
	Leela	Amy, you don't go up from the sticker price.
	Amy	I thought it was an auction.
	Victor	He is not too happy.
	Amy	I'm sorry. 80,000?
	Amy	Uh-oh. I'm terrible at parallel parking.
	Hermes	[from inside] And now you're asking for a day off? Get out of my and my sight! [Fry and Leela look at each other and shrug.] You're bogarting my patience.
	Leela	Hermes, who were you yelling at?
	Hermes	Myself. I asked myself a Valentine's Day off, but I was in no mood for any of my shenanigans.
	Fry	Valentine's Day's coming? Oh, crap! I forgot to get a girlfriend again. Well, since neither of us has a date, why don't we...?
	Leela	You just assume I can't get a Valentine's date?
	Fry	Shall we say eight o'clock?
	Amy	Hey, I'm taking my new car out for a spin to Mercury. Anybody wanna come?
	Fry	Yeah, OK. What's the weather like?
	Amy	The usual: Boiling lead, oceans of lava.
	Fry	So, what? Shorts?
	Fry	Boy, this A.C. is incredible! [He shivers.] I'd better turn on the heater too. [He does and the fuel gauge starts to go down. They pass Hg's Fuel, the only fuel station on the planet.] [shouting] Boy, this heater is incredible! I'd better turn up the A.C. some more.
	Amy	[shouting] Hey, how about some icy margaritas?
	Fry	[shouting] Yeah! [He pushes a button and two glasses and a mixer comes out. The fuel gauge drops further.] We're slowing down!
	Amy	[shouting] Don't worry. I'll hit the fuel guzzler!
	Fry	[shouting] Who wants pop-tarts? [He puts the pop-tarts in the toaster and turns it on full. The engine stops, the heater and A.C. go off, the mixer stops and the car jerks to a halt, then falls to the ground. Amy gasps and sees the fuel gauge is empty. Fry takes his shades off and sees the sign to Hg's Fuel; 4750 miles one way, 4750 miles the other way.] Uh-oh!
	Amy	It's OK, I have an emergency phone.
	Fry	What are you doing?
	Amy	Spluh! It's a video-phone. [She presses a button on the steering wheel and a screen and dialling pad fold out. She dials.] Lucky I'm a member of the Astro-Afro-Antarctico-Amer-Asian Auto Association. [A man appears on the screen.] Hello? Septuple-A?
	Fry	Phew!
	Amy	It'll be a couple hours. Oh, I'm gonna get sweat on my sweat-suit.
	Fry	Hey, tell me something: You've got all this money, how come you always dress like you're doing your laundry?
	Amy	I guess 'cause my parents keep telling me to be more ladylike. [She scoffs.] As though!
