	Doctorbot	Notify his survivors.
	Bender	[singing] B-E-N-D-E-R! Be-ender! [He walks into the room. Leela and Amy read magazines and Fry looks at a copy of Playbot. Bender dances.] B-E-N-D-E-R! Be-ender! Sayin' B-E-N-D-ER--
	Hermes	Mail call! Amy, here's your designer lingerie catalogue. Fry, Sadie's Bra Parade and, Leela, Bulk Underpants Outlet.
	Leela	You buy one pound of underwear and you're on their list forever.
	Hermes	And for Bender-- Uh-oh! A black-bordered envelope.
	Amy	Oh, no! Someone you know must've died.
	Bender	I hope it was one of my enemies; those guys suck! [He opens the envelope and gasps.] Oh, no! My uncle Vladimir.
	Fry	Oh, I'm sorry, Bender. When's the funeral?
	Bender	Tomorrow, at the family castle. Followed by the reading of his will. [He screws up the letter and throws it behind him.] Well, I'm rich. Goodbye, losers, whom I've always hated! [He walks through the door then comes back.] C'mon, it'll be fun!
	Bender	Uh, pardon me, my good simpleton. Could you take us to yon castle?
	Robot #1	Some say unholy things happen up there.
	Robot #2	For example: All of us say that.
	Prof. Farnsworth	Fuf! Superstitious robot mumbo-jumbo.
	Robot #2	Mumbo, perhaps. Jumbo, perhaps not! With all your modern science are you any closer to understanding the mystery of how a robot walks or talks?
	Prof. Farnsworth	Yes, you idiot. [He opens the robot's chest cabinet.] The circuit diagram is right here on the inside of your case.
	Robot #2	I choose to believe what I was programmed to believe.
	Robot #2	I will go this far and no further.
	Preacherbot	I now commend Vladimir's remains to the earth. Filings to filings; rust to rust.
	Execu-Tor	[reading] To my loyal butler, You There, for his decades of service, I leave a pittance, to be paid in 20 equal instalments of one-twentieth of a pittance each. [You There bursts into tears.] To my lazy, spoiled son, Tandy, who never learned the value of a dollar, I leave my entire $10 million fortune.
	Tandy	[whispering] Is that a lot?
	Execu-Tor	[reading] And to my loving nephew, Bender, assuming he's not responsible for my death, I leave my castle.
	Bender	Yes! Let's stay there tonight.
	Execu-Tor	[reading] On condition that he spend one night within its walls.
	Bender	Oh, man, there's always a catch!
	Bender	Ah! I got a good vibe from this place: Nice long dinner table, quiet, well-behaved spiders, graveyard-adjacent. Yep! It's gonna be--
	Leela	What is it?
	Bender	That painting, the eyes are watching me!
	Prof. Farnsworth	Hmm. [He traces his glass backwards and forwards in front of the picture. The eyes follow the glass.] It has motor eye sensors attached to motion detectors.
	Bender	So does my butt, but I don't frame it and put it on the wall! Although-- [The MS Windows intro music plays, as if from nowhere. Someone laughs.] What's that?
	Zoidberg	I don't know, but it's infectious!
	Bender	No doubt about it, this place is haunted.
	Hermes	Don't be silly, mon. The last ghost died over 200 years ago.
	Bender	The last human ghost. But robot ghosts?
	Leela	[reading] 0101100101. [talking] What does it mean?
	Bender	It's just gibberish. [He turns and gasps as he sees the numbers reflected in a mirror à la The Shining.] [reading] 1010011010?
	Bender	Uncle Vladimir!
	Vladimir-Ghost	Come, Bender. You'll like being dead!
	Bender	That's what they said about being alive.
	Robot Ghosts	[chanting] Join us! Join us! Join us, Bender!
	Prof. Farnsworth	Just as I suspected. These robots were buried in improperly-shielded coffins. Their programming leaked into the castles wiring through this old, abandoned modem allowing them to project themselves as holograms.
	Hermes	Of course! It was so obvious!
	Prof. Farnsworth	Yes, that sequence of words I said made perfect sense. We really should tell Bender there's nothing to be afraid of.
	Bender	[screaming] Nooo!
	Fry	Bender, wake up! [Bender mumbles as he starts to come around.] He's OK! Quick, does anyone have any liquor?
	Leela	Bender, what happened?
	Bender	Somebody tried to run me over. And not with a normal hover-car. It crept along the ground on round, rubber feet, like a wolf!
	Fry	Poor Bender, you're seeing things. You've been drinking too much, or too little, I forget how it works with you. Anyway, you haven't drunk exactly the right amount.
	Amy	Maybe he has. Look at these tracks.
	Leela	I think Bender may be telling the truth.
	Zoidberg	Bender, you look awful. I prescribe make-up. Here. It just so happens I have my Mary Kay sample case!
	Bender	Ah, I just need sleep. I had nightmares all night about cars running people over.
	Zoidberg	Many people dream of a fresh, new look. And Mary Kay can make those dreams come true.
	Leela	Look at this. They found those same rubbery tracks right here in New New York. [She drops a newspaper onto the table. The headline "Hit And Run" dominates the front page.] There was a hit-and-run by the robot porno theatre.
	Bender	Robot porno theatre? I was in that ... general area last night. Whoever ran me down out on the moors must've followed me back here.
	Hermes	Bender, mon, no one's trying to run you over. Stop being a big, hallucinating baby.
	Bender	Yeah? Could a big, hallucinating baby do this: [crying] I scared!
	Vandal #1	I don't know which I like more: Smashing cars or smashing faces.
	Vandal #2	Well, lucky you don't gotta decide tonight. Now come on, we got church tomorrow. [The grey car quietly follows them. It rolls over a manhole cover and quickly parks.] Did you hear something?
	Vandal #1	Ah, it was probably just a golden marmoset.
	Vandal #2	That don't sound like no golden marmoset I ever heard.
	Vandal #1	Made it!
	Vandal #2	So anyway, what're you wearing tomorrow?
	Bender	Where--? What the--? [He tastes it.] Transmission fluid? Where have I been? What happened?
	Sal	Gets outta here, yous lousy bum!
	Bender	Please, I'm scared.
	Sal	We're all scared, it's the human condition. Why do you thinks I put on this tough-guy facade? Now beat it!
	Bender	I passed out around midnight, which is much earlier that usual, and when I woke up I found these in my chest cabinet.
	Fry	Aw, relax, buddy. You were probably just shooting some big, fuzzy craps.
	Bender	No, I think I may have hurt someone. Oh, Lord! I'm on the verge of a nervous meltdown.
	Fry	Jeez, Bender, you're scaring me. You're going wacko!
	Bender	You're right, I need professional help. And damn the expense.
	Bender	Damn the expense!
	Gypsy	My friend, you have nothing to worry about. Except a nightmare-ish life of unremitting horror!
	Bender	Phew!
	Gypsy	For, you see, you are a were-car.
	Bender	A were-car?
