	Announcer	[voice-over] Futurama is brought to you by ... [The oval shrinks and zooms back into the corner of the screen, replaced by a spray can.] ... Arachno Spores! The fatal spore, with the funny name!
	Announcer #1	[voice-over; on TV] Cop Department is real. The people you see are not actors. Most of them aren't even people.
	Centipede Man	[on TV] C'mon, man, I didn't fire off no laser.
	Smitty	[on TV] Then why is there a smoking hole in your ceiling, sir?
	Centipede Man	[on TV] What? Crazy upstairs lady must've been shooting down.
	URL	[on TV] Sir, you're on the top floor of this particular domicile.
	Centipede Woman	[on TV] You get that [beep beep] camera out of my house!
	Smitty	[on TV] Just relax, ma'am. [A light goes on behind him.] Sir, sir, put down the lamp.
	Centipede Man	[on TV] OK. OK, I'm co-operating.
	Smitty	[on TV] That's it. Now put up your hands.
	URL	[on TV] Nice and slow. Aw, yeah!
	Smitty	[on TV] And while you're at it, unblur your face.
	Centipede Man	[on TV] Aw, man.
	Leela	Hey, Bender, I thought you said you were in this episode.
	Bender	Nah, this week I'm on Caught On Tape 3 'cause of what I did in the coffee pot.
	Centipede Man	[on TV] I'm sorry, I'm really sorry. I'm just going through some things.
	URL	[on TV] I'm goin' in!
	Announcer #1	[voice-over; on TV] Cop Department will return, after these messages.
	Announcer #2	[voice-over; on TV] Is today's hectic lifestyle making you tense and impatient?
	Bender	[tense and impatient] Shut up and get to the point!
	Announcer #2	[voice-over; on TV] Then come relive the carefree days of yore at Past-O-Rama ... [The picture changes to a recreated New York street with the Empire State Building in the background.] ... where Old New York comes alive.
	Woman	[on TV] It's like stepping back stepping back into the year 2000!
	Cowboy	[on TV] Time for the mammoth hunt, dudes!
	Einstein Actor	Let's disco dance, Hammurabi!
	Hammurabi Actor	Dy-no-mite!
	Announcer #2	[voice-over; on TV] Located on the former site of Brooklyn.
	Leela	Sounds like your kinda place, Fry. Wanna go?
	Fry	Nah. If I ever wanna go back to the year 2000 I'll just freeze myself again.
	Bender	C'mon, Fry, I really wanna see it. You know how I yearn for a simpler time. A time of barn dances and buggy rides, before life was cheapened by heartless hi-tech machines.
	Leela	But, Bender, you are--
	Bender	Blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah...
	Fry	Cool, it's just like the good old days!
	Mugger	Give me your wallet or I'll cut you!
	Fry	Hey, Leela, get a picture of me being "mugged".
	Mugger	I'll take the camera too.
	Bender	Learning is fun.
	Leela	Ooh, ancient Wall Street.
	Stockbroker #1	No!
	Stockbroker #2	I'm ruined!
	Tour Guide	I direct your attention to this ancient and mysterious tablet which has yet to be deciphered.
	Leela	Do you know what it means?
	Fry	Yeah, I asked a cop once. It means "Up yours, kid".
