	Morbo	So I gave the cookies you made to Fawn and the kids and they couldn't believe it -- they were delicious. But, I digress. [He turns to the camera.] [shouting] Tremble, puny earthlings! One day my race will destroy you all!
	Leela	Could one of you guys get that?
	Leela	It's a doorbell baby! [She crouches down to the bundle of blankets in the basket. Fry and Bender appears behind her.] Hello, little guy. You know, I was abandoned as a baby too, so--
	Bender	Garbage, huh? I'll take care of it.
	Leela	Bender, stop! It's a baby!
	Bender	[stamping] A baby what? [Leela kicks him in the head and he falls over.] Ow!
	Leela	Oh, it's just a card. From the orphanarium I grew up in.
	Card	Leela, you're invited to a reunion at Cookieville Minimum-Security Orphanarium. [The voice changes to an adult woman's voice.] Please stand clear of self-destructing basket.
	Bender	A reunion at your old orphanarium, eh? You gonna go?
	Leela	No way, Jose-bot. I never wanna see those other orphans again! Not after the way they used to pick on me.
	Kids	[chanting] One-eye! One-eye! One-eye!
	Kirk	Nice depth-perception, one-eye!
	Leela	How can you make fun of me, Kirk? You're blind!
	Kirk	My eyes may not work, but at least I got two of them!
	Fry	Aww. That's terrible, Leela. But imagine the look on their faces when you show up with two friends who eat all the hors d'Oeuvres.
	Leela	Well, I wouldn't mind rubbing my success in a few choice faces.
	Bender	Set a course for adventure!
	Fry	Ew!
	Bender	What a dump!
	Leela	Just like old times. Gosh! The bars on the windows seemed so much thicker back then. [An old man approaches her from behind. He is dressed in a grey suit and is wearing a grade 135 badge. He clears his throat and Leela turns around.] Mr. Vogel? Remember me?
	Warden Vogel	Leela! You're worthless and no one will ever love you!
	Leela	You used to say that all the time!
	Warden Vogel	Oh, those were happier days.
	Fry	Mmm! The gristle-in-a-blanket isn't half bad.
	Bender	And try one of these Popsicle sticks. They've absorbed quite a bit of flavour.
	Leela	Hey, look. It's our old group picture.
	Fry	I don't see you anywhere.
	Leela	That's me over in Cootietown.
	Bender	Whoa! Get a load of this average-looking guy!
	Leela	That's Adlai Atkins. I used to have kind of a crush on him.
	Kids	[chanting] One-eye! One-eye!
	French Guy	Stupid as a French guy!
	Kids	[chanting] One-eye! One-eye! One-eye! One-eye! One-eye! One-eye! One-eye! One-eye!
	Leela	Well, it's time to say hello to the old gang.
	Man #1	So, whatcha been up to since you left the orphanarium?
	Man #2	Uh, living in a box, fighting the shakes. You?
	Man #1	Selling kidneys, teeth, whatever falls out of me.
	Leela	And what am I up to, you ask? Why, I'm a very successful space captain.
	Man #2	Oh.
	Man #1	Wow.
	Man #3	How nice for you, Leela.
	Woman	That's so good for a person with one eye.
	Leela	Hey! You can't feel sorry for me! I'm a space captain and you're a bunch of losers.
	Man #1	Uh, right, right. We're the losers!
	Kirk	Well, if it isn't old one-eye!
	Leela	Oh, yeah? Well, shut up, cane boy!
	Man #3	He can't hear you. He's deaf now.
	Adlai	Leave Leela alone. She's leading a perfectly normal life. She's not gussied up, duded out, getting down or where it's at. Now run along.
	Leela	Thanks, Adlai. I guess you never really outgrow being an eyeball-- Oddball!
	Adlai	Nonsense. You're a space captain. That's a fine, conventional profession.
	Leela	Well, you know, it's just for a package delivery service.
