	SewerCom Operator	[on phone] [pleasant female voice] Your call is being [gruff male voice] connected [pleasant female voice] by SewerCom. Reach out and touch the sewers.
	Turanga Munda	[on screen] Look, Morris, it's Leela calling.
	Leela	Hi, Mom. Hi, Dad. Ready for your big trip to the surface?
	Turanga Morris	[on screen] We're excited, honey, but we don't wanna embarrass you. I mean, your mother and I are basically monsters.
	Leela	Dad, relax. You are being so mutant!
	Turanga Munda	[on screen] I found this adorable little bag to wear over my head. [She puts it on.] And it was on sale!
	Leela	No one's wearing anything adorable over their head. Now listen, I could never, ever be ashamed of my parents. I'll see you this weekend.
	Leela	Hey, guess who I just got off the videophone with?
	Bender	No.
	Leela	My parents! They're coming up from the sewers for a visit Sunday.
	Amy	Are you off your rocket? Your parents are mutants. It's illegal for them to come above ground 'cause they're inferior genetic scum. Uh, present company excluded, of course.
	Leela	I'm getting them a special one-day surface permit from Citihall.
	Hermes	Ooh. While you're there, could you pick me up a licence to kill?
	Leela	Sure. Bare hands or weapon?
	Hermes	Uh, what does piano wire count as?
	Professor Farnsworth	Good news, anyone. The Swedish robot from Pi-kea is here with the super collider I ordered.
	πkea Robot	Enjoy your affordable Swedish crap.
	Fry	Let's see what tools we'll need. [Hammer.] Uh-huh. [Screwdriver.] Uh-huh. [Bending unit.] Uh-huh. Alright, we're all set.
	Bender	Nothing like the rustic wholesomeness of working with one's own hand.
	Bender	Ah, there. Finished. And with only six missing pieces!
	Fry	Those Swedes sure know how to put in almost everything you need.
	Leela	Man, I'm sore all over. I feel like I just went ten rounds with Mighty Thor.
	Fry	I feel like I was mauled by Jesus.
	Zoidberg	I've got just the thing: Genuine miracle cream I bought from a travelling salesman. [Fry and Leela squeeze some onto their hands and rub it on themselves.] "Come one, come all," he said. "Step right up!" "This sounds too good to be true," I thought. He said I looked like a smart, young man. "So is it a deal?" I enquired. Two hours later he was gone, with 60 of my dollars. But I have the miracle cream--
	Professor Farnsworth	Bad news, nobody. The super collider super-exploded. I need you to take it back and exchange it for a wobbly CD rack and some of those rancid meatballs.
	Man #1	Excuse me. hi! Do you have a minute? I live in Jersey City and my car broke down and I need to get back because my Aunt's real sick and she needs this medicine but I need money for the bus. So I'm mugging you. Hand over your wallets.
	Leela	I don't believe that story for a second.
	Man #1	It doesn't matter, I'm mugging you.
	Fry	There's no bus to Jersey City.
	Man #1	Give me your wallets now or my robot'll shoot.
	Andrew	Don't make me hurt you.
	Fry	I'm too scared to find my pocket. Here, I'll just take of my pants and give you those.
	Man #1	Hey! I don't like what I'm seeing. Give it to him, Andrew! [Fry screams and Andrew shoots. The laser bounces off Fry and takes a chunk out of a wall.] Give it to him again, Andrew! [Andrew shoots and the laser bounces off Fry again and hits an Illegal Fireworks dispenser. The fuses light and they fly off in all directions.] What the-- Laser-proof shirts, huh? I'll show you.
	Leela	Huh? Hey! Quit it! [She leaps up.] Hi-yah!
	Man #1	Foiled. And after years of planning.
	Andrew	You're outta the game!
	Leela	How did we manage to survive? What gave us those strange powers?
	Fry	Maybe we're all wearing magic rings but they're invisible rings so we don't even realise it. Also, you can't feel the rings.
	Leela	Fry, shut up and look at this! [reading] May cause superpowers in humans.
	Fry	Wow! A superpowers drug you can just rub into your skin? You'd think it'd be something you have to freebase.
	Leela	Let's see. Which powers do we have? Super-strength?
	Fry	Yup.
	Leela	Uh-huh. Lickety speed?
	Fry	Check.
	Leela	Yes, sir! [They run back.] Ability to command the loyalty of sea creatures?
	Fry	[shouting] Hey, Zoidberg, get in here!
	Zoidberg	[shouting; from elsewhere] Screw you!
	Leela	Ain't got that.
	Fry	Nope!
	Leela	Wow. Superpowers! I'll be able to pack my day with twice as many humdrum activities.
	Fry	Leela, I think you're missing the big picture. When you were a kid, what was your biggest fantasy?
	Leela	To have parents.
	Fry	Whatever. The correct answer is: To be a superhero. We have superpowers and we're Americans. This is our chance.
	Leela	Hmm. I have been looking for a way to serve the community that incorporates my violence. Let's do it!
	Fry	You'll barely regret this!
	Bender	Hey, a friend of mine said he mugged you today and you had superpowers.
	Leela	It's true. Thanks to this funky-fresh cream.
	Fry	Now me and Leela are forming an awesome crime-fighting duo.
	Bender	Wow! Crime-fighting. Cool. You say you're a duo? Yeah, duos are good. Of course sometimes they're a little short-handed. [He starts walking back up the steps.] See you. With two humans, you'd think there'd be a robot in there to balance things out but whatever. [He opens his chest cabinet.] I have these three costumes you could use. But I guess I'll just throw one away.
	Leela	We'd love to have you on the team, Bender. But aren't you more on the supply side of crime?
	Fry	Plus the cream won't give you superpowers. You're a robot.
	Bender	So? I'm already super-strong. And my arms do this. [He reaches over to the other end of the hangar, grabs a bottle of beer, retracts his arm and hands the bottle to Fry.] Also I got this going.
	Leela	[shouting] Listen up, New New York: There's a new group of superheroes in town! And we're--
	Hattie	[shouting; from elsewhere] Quiet! It's 4am and I just fell asleep for the first time in 30 years!
	Leela	[shouting] Sorry! [whispering] A new era of justice has begun.
	Hattie	[shouting; from elsewhere] What?
	Narrator	[voice-over] Attention, all crooks, lowlifes and lawbreakers. Do yourselves a favour and crawl back into your filthy tenements, you human cockroaches. Or get your ugly face punched to custard by ... The New Justice Team.
	Fry	Captain Yesterday!
	Leela	Clobberella!
