	Man	$10, please.
	Fry	Aw, man!
	Nannybot 1.0	Sleep, little dumpling. I have replaced your mother.
	Leela	Aw!
	Bender	Oh, my God! Robot beely-boppers!
	Fry	And there's a robot scratching post. [Robots bat around a beer bottle on the scratching post.] You should try it out, Bender.
	Bender	Please, I have some dignity!
	Wernstrom	Ladies and gentlemen, my Killbot features Lotus Notes and a machine gun. It is the finest available.
	Prof. Farnsworth	Like fun it is, you glass-headed wallaby!
	Wernstrom	No one calls me that! I'm having at you!
	Prof. Farnsworth	Wernstrom!
	Farnsworth's Killbot	Such senseless aggression.
	Wernstrom's Killbot	Come on. Let's go for a paddle-boat ride.
	Bender	The secret was scratching really, really hard!
	Announcer	[on loudspeaker] And now, the woman who Mom-opolises the robot industry--
	Fry	[shouting] I get it!
	Announcer	[on loudspeaker] Mom!
	Fry	[shouting] Oh, now I get it!
	Mom	Hello, dearies.
	Bender	Woo! I love that old bat!
	Mom	Ladies and gentlemen, for the 17th year in a row, the future of robotics has arrived. Boys? [Walt, Larry and Igner come up in the middle of the stage in a puff of smoke.] I give you ... Robot 1-X!
	Larry	Ow!
	Igner	Ow! Oh!
	Bender	Neat!
	Mom	Quite frankly, Robot 1-X will put all my previous models to shame. Incidentally, would one of my previous models mind coming up here?
	Bender	Right here! I'm comin'! C'mon, baby! I'll do it! C'mon, Mom!
	Refreshment-bot	Jerk!
	Bender	Here we go. I'm your top of the line, Mom.
	Mom	Notice that this obsolete robot runs on alcohol and emits pollution. Whereas Robot 1-X runs on pollution and emits pure oxygen with a fresh pine scent.
	Bender	Man, that smells great!
	Mom	Now, let's see how both robots do at a typical household task: Sorting a jar of pocket change.
	Robot 1-X	Task completed. Total value, $4.73 and one Albanian lek.
	Mom	Very good, Robot 1-X. And you, bending unit?
	Bender	Uh, I never got the change. [He sniggers.] Suckers.
	Mom	Presenting Mom's Friendly Robots.
	Bender	That new robot is great, huh? Sure made me look like a pile of crap!
	Prof. Farnsworth	Indeed. That's why I bought one to help around the office.
	Bender	[hoarse] Eep!
	Leela	Let's try him out. Robot 1-X, can you clean Nibbler's stanky litterbox?
	Robot 1-X	I can and will.
	Bender	Hey, I could have done that if you'd asked me.
	Leela	I asked you five minutes ago.
	Bender	You call that a kiss? I'll show you! [He stands up and picks up Nibbler.] C'mere, Nibbler!
	Prof. Farnsworth	Oh, look, Bender. If you want something to do stop making out and give us a hand.
	Hermes	Here. Go up on the roof and install this fake satellite dish so we can impress the neighbours.
	Bender	Yes, sir. I'm on it!
	Hermes	Oh, and have Robot 1-X help you.
	Bender	Get outta here, freshman! I don't need your help.
	Robot 1-X	Our owners asked me to assist you.
	Bender	Yeah? Well assist this!
	Bender	When I screamed "help" I didn't mean you!
	Robot 1-X	I apologise. However, I was able to do your job before I saved your life.
	Bender	Don't mind me. I'm just saving you the trouble of throwing me away.
	Amy	Spleesh! Mell out, Bender. Come watch some TV.
	Bender	I can't. I'm stuck in the can.
	Leela	Well, ask Robot 1-X to pull you out.
	Bender	Never!
	Leela	Why can't you accept his help?
	Bender	I hate him.
	Leela	But he's just a tool to make your life easier. Like a socket wrench or a burglar's kit.
	Bender	I can't ask for his help because--
	Prof. Farnsworth	Yes?
	Bender	[whispering] I'm scared of him.
	Leela	Oh, sorry.
	Prof. Farnsworth	Well then there's only one solution: You need an upgrade to make you compatible with Robot 1-X's new technology.
	Bender	An upgrade? But I thought we all agreed I was perfect! Fry, didn't we agree I was perfect?
	Fry	Oh, yeah, no, you're pretty perfect.
	Bender	Pretty perfect? So, you do think I need an upgrade?
	Prof. Farnsworth	Yes! For God's sakes, yes!
	Bender	[crying] Fine. I'll be back in a few days.
	Roberto	Man, I hate those new 1-X robots. I'd like to stab 'em! Give 'em some of these!
	Bender	Yeah! Right on, nutcake!
	Roberto	Parole officer says I gotta upgrade or he won't give me back my stabbing knife. But it's no big. I hate those 1-X so much I know it won't affect me. [A piece of machinery grabs him and lifts him off the conveyor belt and puts him on the upgrade machine. His arms are clamped to the machine and something comes down around his face.] Death to the 1-X robots! [The technician throws a switch and the upgrade starts. Electricity zaps around Roberto's head then stops. The machine around his face comes away.] I love those magnificent 1-X robots! The 1-X robots are my friends.
	Bender	W-W-Wait! What happened to your enthusiasm for stabbing them?
	Roberto	I'm past that. Later, blood!
	Bender	It's like he's not him anymore. [He is placed on the upgrade machine. The technician resets it.] You took away his robo-humanity. [The technician throws the switch and Fatbot trembles as Bender is upgraded.] I changed my mind!
	Bender	I did it! I escaped! But to what kind of a life? [The seagull squawks.] I'm too scared to get the upgrade but I can't face my friends again without it. [He cries and walks over to a "Boating Prohibited" sign, rips it down and folds it into a boat. He climbs into it and pushes it away from the riverbank.] And so I set sail for unknown shores. Oh, merciful Poseidon, take pity on this mechanical mariner. [He sails away from the land towards and storm.] Oh, jeez!
	Bender	[shouting] Curse you, merciful Poseidon!
	Bender	Boy, what is the deal with the ocean? A tropical island, huh? Well, I've washed up on worse places. OK, first up, I'm gonna need to build a shelter. [He walks across the beach, lies down, picks up a rock and dumps it on top of him.] There. Well, I guess I'll go out for a while.
	Bender	Damn. One rock short of rescue!
	Bender	Oop! Low on power. [He chuckles.] Better fuel up! [The bottle is empty.] Oh, no! Guess I'll do what I always do when I run out of booze.
	Bender	Don't panic, I've got these yams. I'll just make some yam schnapps.
	Bender	Hey, I should be mad at you! Now turn around.
	Bender	Beer! [He throws the rock off him. The beer is a hallucination and is nothing more than six birds trapped in a six pack ring. Bender tries to pull one out and it bites him.] Ow!
	Bender	Who ... is ... it? [A coconut drops on his head.] Ow!
	Bender	Who are you and why should I care?
