	Announcer	[voice-over; on TV] This week in the universe. [The scene on the TV changes to a planet where DOOP soldiers battle giant spiders.] Dateline, Turantulon 6: The brave warriors of Earth, under the command of General Major Webelo Zapp Brannigan, have achieved victory over the spider homeworld. [Kif hits two spiders with a giant fly swat and Zapp runs him over in a Jeep.] And to the victor belong the spoils; one trillion dollars in silken treasure.
	Zapp	[on TV] Mmm!
	Richard Nixon	[on TV] My fellow Earthicans, after meeting with top voodoo economists, I have decided to refund our silk surplus to you, the taxpayers. That's right! I've sent you each 300 buckaroos in the form of a Tricky Dick Fun Bill. Knock yourselves out!
	Zoidberg	Money!
	Amy	I'm slightly richer!
	Bender	What to do, what to do? One $300 hookerbot or 300 $1 hookerbots?
	Leela	I'm going to swim with a whale. They're the gentle giants of the deep.
	Prof. Farnsworth	I'm well aware of that.
	Scruffy	Scruffy's gonna get himself one of them $300 haircuts. This one's lost its pizzazz!
	Zoidberg	A fortune, it is! At last Zoidberg will live like a rich man!
	Richard Nixon	[on bill] Hey, cut it out! Go away! Get away!
	Amy	Shmeesh! It's just 300 bucks. What is that, like a hundred cups of coffee?
	Fry	That's it! I'm getting a hundred cups of coffee. Starting now. [He walks over to the coffee machine.] Coffee machine, one cup of coffee, please.
	Richard Nixon	[on bill] Smells good!
	Zapp	[on screen] Leela? Are you there?
	Leela	No.
	Zapp	[on screen] Oh, yes, you are! I'm hereby inviting you and your oddball co-workers to a special reception to display the national silk surplus. I believe you know the heroic space stallion who captured it. Show them my medal, Kif.
	Kif	[on screen] He rented it with his tax refund.
	Zapp	[on screen] So, Leela, will you have the pleasure?
	Leela	What little there is to be had.
	Zapp	[on screen] Tomorrow night at eight them. Smooches!
	Crack Addict	No cheap crack houses for me no more!
	Man #1	Very good, sir. Shall I pre-warm sir's crack pipe?
	Amy	Oh, Kif, it was so romantic of you to rent this paddle plane with your tax rebate. We're like two dandelion seeds wafting on the breeze.
	Kif	[gasping] Yes. Seeds ... wafting.
	Amy	I almost feel kinda shallow for blowing my rebate on this cool talking tattoo!
	Tattoo #1	Hey, Gordon Gecko! I cost as much as this whole crummy date!
	Amy	Shut up! [She slaps her arm.] Ow!
	Prof. Farnsworth	Uh, ma'am, it has become too much of a chore for me to clean out my wrinkles each day. Is it true that stem cells may fight the aging process?
	Geneworks Woman	Well, yes. In the same way an infant may fight Muhammad Ali. But--
	Prof. Farnsworth	One pound of stem cells, please.
	Geneworks Woman	Of course, any age-reversing effects will be purely temporary.
	Bender	Say, buddy, why's this Grand Cigar so pricey?
	Clerk	Well, as you can see, its wrapper is a piece of the original US Constitution. It was hand-rolled by Queen Elizabeth during her wild years and was buried with George Burns until graverobbing space mushrooms-- Uh, well you know the rest.
	Bender	Give you 300 bucks for it.
	Clerk	No can do.
	Bender	Oh, alright, I'll just take these $300 burglars tools then.
	Clerk	Very good, sir.
	Bender	So, uh, what time d'you close tonight?
	Dwight	Hey, Pops! Did that tax rebate come?
	Hermes	Came and went! You're now the proud owner of Bamboo Boogie Boots. [Dwight's smile fades.] With a warning label this big, you know they gotta be fun.
	Dwight	But, Pops, I don't wanna have fun. I wanna be like you; boring but prudently invested.
	Hermes	Babylon's bells! I tallied almost 300 bananas on this entertainment product. Now you put 'em on and have fun.
	Dwight	[shouting] I don't wanna!
	Hermes	Well then I'm gonna put 'em on and make you watch me have fun. [He sits on the steps, puts the boots on, stands up and smiles.] See? Fun! Fun-- [The bamboo comes out of the bottom of the boots and lifts Hermes into the air. He screams.] Dwight! Help me!
	Dwight	I'll save you, Pops!
	Prof. Farnsworth	Hey! Turn that damn music-- [A woman looks up at him] Up!
	Hermes	Isn't this fun?
	Dwight	No! I wish I had two mommies!
	Randy Munchnik	Try these, uh, sir.
	Zoidberg	I ask for rich guy stuff and you give me shiny pebbles? Bah! I bid you adieu.
	Randy Munchnik	Ow!
	Leela	I'd like a pass to swim with Mushu, please.
	Whale Biologist	Well you asked the right guy. I'm the whale biologist. Though personally I hate whales. [whispering] Especially Mushu.
	Leela	Then why'd you become a whale biologist?
	Whale Biologist	I don't know you well enough to get into that. $300, please. [Leela hands him her $300 and he hands her a card.] Noon tomorrow. If you're late you only get to tread water in the scallop tank.
	Fry	Uh, I'll have a coffee.
	Man #2	Guppy, trout, mermaid or--
	Fry	Whale, please.
	Kif	[gasping] Amy, I-I also spent some of my tax rebate on a gift for you.
	Amy	Oh, Kiffie!
	Kif	It shows the time wherever we both are. And it's powered by love! Also, you have to wind it.
	Tattoo #1	Oh! Somebody won big at Skeeball!
	Amy	You shut up! I love it, Kif. I'll use it whenever I wanna know what time it is. [She kisses and hugs him. She looks down and sees Fry and Leela sat at a table.] Ooh! It's Fry and Leela! [shouting] Hi, Fry and Leela!
	Kif	Oh! Keep peddling! Oh, for the love of God, keep peddling!
	Amy	[shouting] Bye, Fry and Leela!
	Tattoo #1	Oh, I can't wait until the tattoos on Amy's butt hear about this!
	Tattoo #2	Hear about what?
	Tattoo #3	Tell us!
	Amy	Don't feel sad, my little tadpole.
	Kif	[crying] I'm trying not to. But my gift to you is in the belly of a whale.
	Zoidberg	Say, this reminds me of that time I ate that other watch Kif gave you.
	Amy	Hey, it is kinda like that.
	Zoidberg	To induce vomiting, that was the solution. Everywhere it went! [He chuckles.] What a Valentine's Day that was!
	Leela	Hmm. This may seem like a huge coincidence, but I happen to have an in with that whale.
	Scruffy	Scruffy's formulated a plan, but you'll need a ready source of nauseatin' rotten fish.
	Elzar	Freshen your coffee, sir?
	Fry	Yeah, yeah, yeah! Keep it coming! Put the pot down! Get away!
	Woman	You're so young in spirit. It's hard to believe you're as old as 25.
	Prof. Farnsworth	The key is to grab life by the hojos! Live every day like it might be your last.
	Elzar	What'll it be, kids?
	Prof. Farnsworth	One bowl of mild farina.
	Leela	Pay dirt! [She closes the door and pulls the plug out of the socket.] Hi-yah!
	Elzar	Here you go, big spender. Foie gras and caviar.
	Zoidberg	Goose liver? Fish eggs? [He eats it and spits it out.] Pah! Where's the goose? Where's the fish?
	Elzar	Hey, that's what rich people eat. The garbage parts of the food.
	Zoidberg	I ate garbage yesterday and it didn't cost me $300! I'm not paying. [He puts on a top hat.] Farewell, good sir!
