	TV Announcer	[voice over] And now it's time for Everybody Loves Hypnotoad.
	Zoidberg	Even in a depression, the entertainment industry thrives.
	Fry	Are you okay, Leela?
	Leela	Yeah, I'm just a little down 'cause the only man I'll ever love left me at the altar. Plus I live in a dumpster.
	Zoidberg	[angry] You stay out of my dumpster!
	Announcer	We interrupt this episode of Everybody Loves Hypnotoad to bring you a special address from Earth President Nixon.
	Announcer	Please, Hypnotoad, it's beyond my control. No! Don't make me kill myseIf!
	Richard Nixon	My fellow Earthicans, I've just received some really great news. I'm about to close a deal that will allow us to buy Earth back from the scammers.
	Bender	That'll teach those scammers and me.
	Richard Nixon	Just when things looked darkest, I received an e-mail from the Andrrrrrrromeda Galaxy. lt seems we've won their quadrillion-dollar family sweepstakes!
	Leela	Oh, Lord.
	Richard Nixon	And all I had to do was hand over our last remaining land and water as collateral. So assuming all goes ... [Headless Body of Agnew grunts] What's that, Agnew? A telegram? [reads telegram] Baroo! There ... seems to have been some ... We've been scammed again, people. Prepare to evacuate Earth. I mean, New Scamadonia.
	Nudar;Fleb;Schlump	[Singing] Na-na-na-na, Na-na-na-na, Hey, hey, hey, We took your stuff!, etc.
	Leela	All aboard for Neptune!
	Prof. Farnsworth	Oh, I don't want to go to Neptune. I'll be cold, and heavy.
	Nudar	Thanks for the planet, suckers.
	Bender	It's so cold, my processor is running at peak efficiency.
	Leela	What are you, a whining machine? lf you want to worry about something, worry about the Yetis.
	Zoidberg	Yetis? [Yetis growl from outside] Oh, Yetis.
	Prof. Farnsworth	Amy, you speak Yeti. What are they saying?
	Amy	I'm not sure, but it sounds like something to do with... "assaulting the interlopers."
	Leela	Don't mess with me, you ice-crapping snow-honkies. I just got dumped.
	Hermes	Sweet Yeti of the Serengeti, she's gone crazy eddie in the head-y.
	Inuit #2	Is that normal?
	Inuit #1	No. Perhaps if we were to cook and eat her slightly...
	Fry-2	Leave her alone. She just needs me to cheer her up. Wanna sword fight, girl?
	Fry-2	That male narwhal seems to be upsetting her. Get us out of here, Captain. Full fast ahead.
	Leroy	Damn whale keepers.
	Leela	Santa! We forgot he's based on Neptune.
	Santa	[Holding a missile launcher] Ho. Ho. Ho... [Drops missile launcher] Oh, my heart's not in it. I'm too depressed for murder and mayhem.
	Amy	Aw, try some antidepressants. They're gummy.
	Fry	What happened, Santa?
	Santa	The scammers cheated me out of my naughty list to use for telemarketing. Can you imagine the harm they could do with that information? I wanted to do that harm!
	Leela	That's it. They've gone too far. No more running and hiding. It's time to fight back.
