	Narrator	Previously on Futurama.
	Morbo	It has now been one month since space ripped open like flimsy human skin. Terrified earthlings are beginning to grow exhausted.
	Hermes	Professor, sprinkle us with wisdom from your mighty brain. How scared should we be?
	Prof. Farnsworth	Somewhere between not at all and entirely.
	Zoidberg	I call entirely. [He springs up, flipping the table upside down and knocking food and beverages all over the four on the couch. He whoops and scuttles his way out of the room.]
	Morbo	Scientists believe the rip is a gateway to another universe, but do not know what mysteries lie beyond. However, in this reporter's opinion gruesome death awaits us all!
	Linda	And now with sports, here's Sportsbot 5000.
	Sportsbot 5000	All sports cancelled.
	Prof. Farnsworth	To better understand the anomaly, I will now focus its radiation on a giant medium-sized ant to see what happens.
	Giant Medium-Sized Ant	What's going on here? I was told there would be sugar syrup.
	Prof. Farnsworth	Quiet, you. [He pulls a switch down. A giant magnifying glass focuses a beam of light from the anomaly onto Farnsworth's head. His forehead to the tip of his upper lip is blasted by fire. Farnsworth screams and Leela sighs and flips the switch to "off." She pulls out a fire extinguisher and puts out the Professor's head.]
	Fry	Oh, hey, everyone, this is Colleen.
	ALL	Hello!
	Amy	I like your shoes.
	Bender	This is awkward. Introducing your new girlfriend to Chesty McNag-nag.
	Leela	Oh, don't mind him. I'II turn him off.
	Bender	Hey, you can't (voice slowing)turn me off...
	Leela	Hi. I'm Leela.
	Colleen	Hi, Leela, hi, everyone. Sorry I've been taking up so much of Fry's time. He's just so interesting. Have you seen how much cotton candy he can eat?
	Prof. Farnsworth	Oh, my, yes. 5.1 pounds. That's why his blood is so good on pancakes. [He picks up a stack of pancakes with Fry's blood acting as a syrup.]
	Fry	Well, got to skedoodle-oodle. We're taking a cuddle-cab to Hug-a-Bunny Village. [The two kiss, then exit the room.]
	Zoidberg	This lovey-dovey stuff is making me vomit from my saltwater and freshwater stomachs.
	Leela	It is pretty sickening.
	Zoidberg	No, the double-vomit is a sign of joy. Fry told me how he and Colleen first met.
	Zoidberg	So, how did you and Colleen first meet?
	Fry	Well...
	Fry	Something about seeing it on the Jumbotron makes it so much more real.
	Colleen	It's so scary. What are you supposed to do when the whole universe is coming to an end?
	Fry	I have a thought. [Cut to the two of them in bed, both smiling. Fry blows a bubble with his gum and it pops around his mouth.]
	Bender	This is gonna be juicy. What? Oh, man!
	Amy	Speaking of sappy love... Want to tell them, Kiffy?
	Kif	Yes, Amy and I have a big announcement. I... That is, we... Oh, I'm just so excited.
	Amy	Kif has asked me to be his Fonfon Ru. [She hugs Kif.]
	Zoidberg	Mazel tov!
	Prof. Farnsworth	Wonderful!
	Hermes	What the hell does that mean?
	Kif	It means I've asked Amy to join my family. And you're all invited to my family swamp for our Fonfon Rubok ceremony.
	Amy	If I had ever heard of it, it would have been what I had always dreamed of.
	Kif	Oh! And our parents will be meeting for the first time ever.
	Bender	[He gasps.] That's even more awkward than Fry's two bimbos meeting each other. Count me in. [Leela turns Bender off again. He falls to the floor in a static pose.]
	Kif	Mr. And Mrs. Wong, aren't you excited that we're all about to be joined in a single family?
	Mr. Wong	You can't borrow money.
	Mrs. Wong	Kif's parents come late and we have to stand around in swamp getting eaten alive by damn bugs? [She squashes a bug on her neck
	Kif	Mrs. Wong, no. The finial stage of my species' life cycle is a colony of flying hookworms. You just squashed part of my father.
	Mr. Kroker	Welcome.
	Mrs. Wong	Sorry. I guess you got plenty of bugs to spare though, huh?
	Mr. Kroker	That was my left testicle.
	Bender	[Outside of the conversation] And the awkward meter goes up another notch. Ding, ding, ding, ding ding...
	Fry	Wow, Colleen, you look so beautiful in the light of the swamp gas.
	Colleen	Thanks. This is really fun. I love going to exotic worlds and getting hammered.
	Fry	Me, too.
	Bartender	Two more Harvey Wallclimbers. [He drops a frog in each, the beverage begins to react with it and overflow.]
	Zapp	Leela, I can't help but notice you're unescorted. Might I escort you behind that bush for the next five minutes?
	Leela	Nothing would revolt me more.
	Zapp	Then how about that shrub?
	Kif	Ooh! Rubok is begun.
	Grand Midwife	I am the Grand Priestess.
	Fry	Aren't you also the Grand Midwife?
	Grand Midwife	And the grand Lunch Lady. I work five jobs, all grand. Kif of the clan Kroker, please transcend the Rubok Etlon with your Fonfon Smizmar Ru.
	Kif	What?
	Grand Midwife	Get in the mud. This mud is the petroleum from a billion generations of Kif's ancestors. [She swirls her staff around in the mud and pushes on Amy's and Kif's forehead, leaving a mark of mud.] As you become one with the ooze, so you become one with the clan Kroker.
	Amy	Oh, Kif, it's like a movie with this happening in it.
	Grand Midwife	Is the best man present?
	Zapp	Guilty as charged.
	Grand Midwife	Kindly hose the couple.
	Grand Midwife	[Holding up a snake.] As it was, so it is. You may now eat the snake. [The two grab, then take a bite of the snake.] If you so choose. [They both spit it out.] It's not part of the ceremony. I just had an extra snake. Rubok is complete. Throw the bouquet.
	Zoidberg	Are you going to eat that? [He devours the bouquet in Colleen's hands.]
