	Mayor Poopenmeyer	Look! Up in the sky!
	Hermes	It's a bird!
	Hattie McDoogal	It's a plane!
	Super Hero	I am so out of here! [He flies off screen.]
	Zapp	Captain's log, star date, the year of the tiger. The battle has been bravely fought, and the suffering of our troops beyond measure. But the alien is invulnerable, and our defeat inevitable. That much is obvious, even from my remote command post here at the Times Square Applebee's. [Cut to a shot of Zapp sitting in a booth next to a window controlling the Nimbus with a joystick. The anomaly and tentacles can be seen through the window to his left.] Waiter! Take this fried mozzarella back to the kitchen and fry it some more.
	Richard Nixon	Har-harrooo! The tentacle's coming towards Earth and there's no stopping it. King Kong's too old to save us this time.
	Professor Farnsworth	We have only one hope, Mr. President. We must encase the entire planet in a protective sphere of my patented, ultra-hard Diamondium!
	Wernstrom	Diamondium? (He scoffs.) I could gum through that with my dentures behind my back. My trademarked Diamondillium is twice as hard!
	Professor Farnsworth	Twice as hard as your head! Which makes it still fairly soft!
	Richard Nixon	Now look here, you Poindexters. I don't care how you decide. Just decide!
	Professor Farnsworth	Diamondillium it is.
	Bender	So, hey, Calculon, I know I'm the new guy, and, pardon my ignorance, but when do we kill all humans?
	Calculon	Never.
	Bender	But what about our motto? [A shot of a plaque above the fireplace that says "KILL ALL HUMANS!"] Doesn't it mean anything?
	Calculon	Oh, Bender, your idealism is heart-warming. But the League of Robots hasn't killed a human in over 800 years. And that was a very sick girl scout.
	British Robot	Quite sick indeed.
	Calculon	Sweet, innocent Bender. [He pats Bender on the head and flicks his antenna. Bender looks up at Calculon evilly.]
	Wernstrom	I declare my impenetrable Diamondillium sphere complete! [The crowd cheers and Wernstrom waves to them.]
	Professor Farnsworth	Now look here, Wernstrom. You're making it sound as if the sphere was your idea when we both know... [Shattering glass is heard and a tentacle is through the sphere.] It was! All credit to my colleague, Ogden Wernstrom!
	Horrible Gelatinous Blob	It's horrible!
	Zoidberg	I can't make it! Go on without me! [Pull back to reveal he's holding onto Leela's boot.]
	Leela	I'm trying! [She struggles to pull him, but slowly does.]
	Zoidberg	Go on without me faster!
	Hermes	Sweet squid of Madrid! The tentacle got Fry!
	Leela	Quick, hand me my machete! We can still save his legs!
	Fry	Silence! [The crowd goes quiet.] I have traveled far and seen deep, and I have come to know the purpose of our existence.
	Randy Munchnik	Finally.
	Fry	Thou shalt love the tentacle!
	Professor Farnsworth	Well, at least we don't have to love one another.
	Fry	A new age has begun. The age of the tentacle! [Tentacles enter into the crowd through the fire hydrants.] Open your necks and receive the love!
	Warden Vogel	Ow, my neck!
	Morgan Proctor	Ow, my neck!
	Fishy Joe	My neck feels perfectly... [A tentacle attaches to his neck.] Ow, my neck!
	Zoidberg	Hooray, Zoidberg escaped! [He is attacked by a tentacle.] Hooray, Zoidberg loves the tentacle! [He is pulled through the doggy door by the tentacle.]
	Hermes	It got Zoidberg!
	Professor Farnsworth	Oh, I never knew how much I'd miss him until he was gone! Not that much, as it turns out.
	Fry	Thus sayeth the tentacle, "Verily, thou shalt rejoice in the house of the tentacle."
	Leela	Fry, listen to yourself. You've been brainwashed.
	Fry	No, I'm just trying to fit my diction to the importance of what I'm saying. Please, let me speak. [A laser points at his forehead.]
	Leela	I'm listening.
	Fry	Don't be afraid of the tentacle, Leela. [He grabs part of the tentacle that is attached to him and pets it.] It's beautiful and it loves me. And I love it. [A second laser appears on his forehead and a cocking gun is heard.]
	Leela	Aw. That's so nice for both of you.
	Fry	I know it may seem strange that I have feelings for an octopus monster from another universe. And yes, perhaps it's not the storybook romance that's been crammed down our throats by (quoting the syllables) "Hollywood." But the Monsterpus has loved us from afar since we were amoebas. [He looks up at the anomaly. Leela slips off her boot and pulls out another gun to aim at Fry's forehead while he turned away. A third laser appears on his forehead.] Only when the space anomaly opened could it finally express a billion years of longing.
