	The Scary Announcer	You're taking a vacation from normalcy, the setting: a weird motel where the bed is stained with mystery, and there's also some mystery floating in the pool. Your key card may not open the exercise room because someone smeared mystery on the lock. But it will open the Scary Door.
	Announcer	Submitted for your Emmy consideration, a popular Senator with unpopular ideas.
	Senator	There's no such thing as space aliens!
	Man	Oh? How can you be so sure them aliens ain't already among us?
	Senator	I'll tell you how! [takes off the man's face revealing an alien lifeform] Because you ARE ONE!!!
	Lrrr	Hey, I was watching that! The Saints just needed a field goal to tie!
	Ndnd	Lrrr, you lazy ruler of the planet Omicron Persei 8! You said you would conquer a planet today, but you have not even shed your skin yet!
	Lrrr	Yes, Ndnd. I heard you the first hundred times. I'll conquer something tomorrow after I fuel up on your disgusting egg-white omelets.
	Ndnd	You want yolks? Fine! Enjoy your stroke. [She throws the remote at him and walks out.]'
	Fry	Erth. [He mimics laser fire as a spaceship blows up the planet.]
	Invader X	Ha ha ha! I am conquering Erth.
	Leelis Lane	Not so fast, Invader X! Here comes Delivery-Boy Man!
	Delivery-Boy Man	Special delivery for Invader X! Laser eye power! [He shoots Invader X's ship with his laser eyes. The ship explodes. Cut to: Delivery-Boy Man in the ship, with Invader X threatening him in a gun.] Hand magnet power! [The gun flies into Delivery-Boy Man's hand.]
	Leelis Lane	[She comes free.] Yay! I'm unbuckled! [Delivery-Boy Man uses his "hand magnet power" to bring Lane to him.
	Invader X	Stop it, you hero!
	Delivery-Boy Man	Reverse-time power!
	Delivery-Boy Man	It's earlier now. [He and Lane kiss.]
	Fry	So? What do you think of my comic?
	Bender	Let me put it like this. After I leave here, I'm getting a memory enema.
	Leela	If I can offer some constructive criticism, there was never any real peril. I mean, the delivery guy has, like, 30 superpowers.
	Fry	Well, that's because he was bitten by a radioactive superman!
	Zoidberg	This is wonderful!
	Fry	It is, isn't it? Wait, those are the ads.
	Zoidberg	These X-ray specs will really take the guesswork out of surgery. No more chopping blindly in the goop.
	Prof. Farnsworth	Don't waste your allowance, Zoidberg. This stuff is butt-grade crap.
	Paper-hatted salesman	[on an ad] Amuse your friends with real vomit!
	Man #1	[on an ad] Throw your voice!
	Woman	[on an ad] Sea monkeys!
	Man #2	[on an ad] Throw your sea monkeys!
	Prof. Farnsworth	[on an ad] My disintegrator ray really works!
	Amy	But that's you.
	Prof. Farnsworth	That's how I know it's bunkum. The Farnsworth Novelty Disintegrator Ray is nothing more than a common teleporter ray. [He shoots a trashcan, it reappears next to him and he throws the toy away.] Worthless toy.
	Fry	I'm sick of being critiqued by nitpicking nerds. I'm taking this to a comic book convention!
	Amy	Smeesh, it's crowded!
	Bender	Good thing everyone is freshly bathed and groomed.
	Nerd	What are you doing? [He pulls the toy out of Zoidberg's mouth.] That's the rare Zapp Brannigan with recording session blooper! [He presses a button on the figure.]
	Action Figure	Don't tell me how to do the line. It sickens me.
	Zoidberg	But the sign said there was a mint in the box.
	Groening	Thank you so... Okay, thanks... Thanks so... Settle down!
	Groening	So, anyway, we're really excited to show you guys the pilot for our new TV series.
	Cohen	It's set it the year 4000, and we call it Futurella!
	Groening	Wow. Fox has really streamlined the process.
	Bill Morrison Robot	Matt will now take questions. But please, only about Futurella, not the Simpsons. Yes? The robot standing on the small child over there?
